good morning
hello
hey
heyy
heyyy
hi
hii
hiii
hiiii
hiya
how are you
how are you doing
how is it going
how you going
hows it going
howya
long time no see
nice to see you
sup
supp
suppp
wassup
wazzup
whats going on
whats happening
whatsup
yo
yoo
yooo
yoooo
yooooo
you alright
yoyo
